Brand,Model,Age,Kilometer,Engine,Max Power,Seats,Fuel Type_Code,Transmission_Code,Age_Squared,Km_per_Year,Power_per_Seat,Log_Price
Audi,A3 40 TFSI Premium,8,48000,1798.0,178.0,5,2,0,64,5925.925925925926,35.5999288001424,14.38082493519599
Audi,A3 40 TFSI Premium Plus + sunroof,7,43290,1798.0,178.0,5,2,0,49,6097.183098591549,35.5999288001424,14.711598990684092
Audi,A4 1.8 TFSI,15,55000,1781.0,163.0,5,2,0,225,3642.384105960265,32.599934800130406,13.500801182986649
Audi,A4 1.8 TFSI Multitronic Premium Plus,15,67000,1798.0,170.0,5,2,0,225,4437.086092715232,33.999932000136,13.815511557963774
Audi,A4 1.8 TFSI Multitronic Premium Plus,5,28600,1798.0,170.0,5,2,0,25,5607.843137254902,33.999932000136,14.954945161152589
Audi,A4 1.8 TFSI Multitronic Premium Plus,4,17000,1798.0,170.0,5,2,0,16,4146.341463414635,33.999932000136,15.26242977619469
Audi,A4 2.0 TDI,11,60000,1968.0,148.0,5,0,0,121,5405.405405405406,29.599940800118404,14.220976332738882
Audi,A4 2.0 TDI,11,44000,1968.0,148.0,5,0,0,121,3963.963963963964,29.599940800118404,14.285514812209815
Audi,A4 2.0 TDI (143bhp),11,100000,1968.0,141.0,5,0,0,121,9009.009009009009,28.199943600112803,14.137594781770806
Audi,A4 2.0 TDI (143bhp),11,15000,1968.0,141.0,5,0,0,121,1351.3513513513515,28.199943600112803,14.269766465162304
Audi,A4 2.0 TDI (177bhp) Premium,14,75000,1968.0,177.0,5,0,0,196,5319.148936170213,35.3999292001416,13.790193775620484
Audi,A4 2.0 TDI (177bhp) Premium,14,62000,1968.0,177.0,5,0,0,196,4397.163120567376,35.3999292001416,14.13396501635527
Audi,A4 2.0 TDI (177bhp) Premium Plus,12,50000,1968.0,177.0,5,0,0,144,4132.231404958678,35.3999292001416,13.976779556623864
Audi,A4 2.0 TDI (177bhp) Premium Plus,12,66000,1968.0,177.0,5,0,0,144,5454.545454545455,35.3999292001416,14.269766465162304
Audi,A4 2.0 TDI 177 Bhp Premium Plus,12,110000,1968.0,174.0,5,0,0,144,9090.909090909092,34.7999304001392,13.997832948091215
Audi,A4 2.0T Premium,14,146157,2000.0,339.0,5,2,0,196,10365.744680851065,67.7998644002712,13.447660547775778
Audi,A4 2.0T Premium,13,208517,2000.0,339.0,5,2,0,169,15917.32824427481,67.7998644002712,13.277315450316067
Audi,A4 2.0T Premium,13,201168,2000.0,339.0,5,2,0,169,15356.335877862595,67.7998644002712,13.682779987453252
Audi,A4 2.0T Premium,12,155784,2000.0,339.0,5,2,0,144,12874.710743801654,67.7998644002712,13.729299951181677
Audi,A4 2.0T Premium,11,145220,2000.0,339.0,5,1,0,121,13082.882882882883,67.7998644002712,13.633890355164098
Audi,A4 2.0T Premium,10,147099,2000.0,339.0,5,1,0,100,14564.257425742575,67.7998644002712,14.039321086799516
Audi,A4 2.0T Premium Plus,10,134251,2000.0,339.0,5,1,0,100,13292.178217821782,67.7998644002712,14.103993059986818
Audi,A4 2.0T Premium Plus,10,117482,2000.0,339.0,5,1,0,100,11631.881188118812,67.7998644002712,14.176313669282727
Audi,A4 2.0T Premium Plus quattro,13,202093,2000.0,211.0,5,2,0,169,15426.946564885497,42.1999156001688,13.5285189137787
Audi,A4 2.0T Premium quattro,14,291291,2000.0,211.0,5,2,0,196,20658.936170212768,42.1999156001688,13.03615386065701
Audi,A4 2.0T Tech Premium,7,44308,2000.0,252.0,5,2,0,49,6240.56338028169,50.3998992002016,14.660030706937782
Audi,A4 2.0T Titanium Premium,6,11748,2000.0,339.0,5,2,0,36,1925.9016393442623,67.7998644002712,14.660030706937782
Audi,A4 3.2 Premium Plus quattro,16,246229,3200.0,305.0,5,2,0,256,15293.726708074533,60.999878000244,13.494727992214205
Audi,A4 30 TFSI Premium Plus,5,17000,1395.0,148.0,5,2,0,25,3333.3333333333335,29.599940800118404,15.26242977619469
Audi,A4 30 TFSI Technology Pack,8,42000,1395.0,148.0,5,2,0,64,5185.185185185185,29.599940800118404,14.914123179965662
Audi,A4 30 TFSI Technology Pack,7,18000,1395.0,148.0,5,2,0,49,2535.211267605634,29.599940800118404,15.068273812173887
Audi,A4 35 TDI Premium,9,57057,1968.0,177.0,5,0,0,81,6270.0,35.3999292001416,14.48334044336031
Audi,A4 35 TDI Premium Plus,10,37000,1968.0,188.0,5,0,0,100,3663.3663366336636,37.599924800150404,14.375126917328105
Audi,A4 35 TDI Premium Plus,9,46000,1968.0,188.0,5,0,0,81,5054.945054945055,37.599924800150404,14.456837989794423
Audi,A4 35 TDI Premium Plus,9,30000,1968.0,188.0,5,0,0,81,3296.703296703297,37.599924800150404,14.711598990684092
Audi,A4 35 TDI Premium Plus,7,15000,1968.0,188.0,5,0,0,49,2112.6760563380285,37.599924800150404,14.88022163978423
Audi,A4 35 TDI Premium Plus,6,48000,1968.0,188.0,5,0,0,36,7868.852459016394,37.599924800150404,15.039286283703994
Audi,A4 35 TDI Premium Sunroof,10,49000,1968.0,177.0,5,0,0,100,4851.485148514852,35.3999292001416,14.23750562376114
Audi,A4 35 TDI Technology,8,59267,1968.0,188.0,5,0,0,64,7316.913580246914,37.599924800150404,14.690979711984754
Audi,A4 35 TDI Technology,8,72400,1968.0,188.0,5,0,0,64,8938.271604938273,37.599924800150404,14.844773125767981
Audi,A4 Premium Plus 40 TFSI,4,12321,1984.0,188.0,5,2,0,16,3005.1219512195125,37.599924800150404,15.250595321348806
Audi,A4 Premium Plus 40 TFSI,3,22000,1984.0,188.0,5,2,0,9,7096.774193548387,37.599924800150404,15.238619133170708
Audi,A4 Premium Plus 40 TFSI,3,1,1984.0,188.0,5,2,0,9,0.3225806451612903,37.599924800150404,15.238860067940953
Audi,A5 2.0T Premium,14,148386,2000.0,450.0,4,2,0,196,10523.829787234043,112.49971875070314,13.63348975593907
Audi,A5 2.0T Premium,13,220919,2000.0,211.0,4,2,0,169,16864.045801526718,52.74986812532969,13.729299951181677
Audi,A5 2.0T Premium,12,178637,2000.0,252.0,4,2,0,144,14763.388429752067,62.999842500393754,13.773751666359644
Audi,A5 2.0T Premium,7,85295,2000.0,450.0,5,2,0,49,12013.38028169014,89.99982000036,14.663608526750796
Audi,A5 2.0T Premium,7,107882,2000.0,252.0,5,2,0,49,15194.647887323945,50.3998992002016,14.781391514826216
Audi,A5 2.0T Premium Plus,13,123919,2000.0,268.0,4,2,0,169,9459.465648854963,66.99983250041876,13.956073049379741
Audi,A5 2.0T Premium Plus,10,131966,2000.0,220.0,4,2,0,100,13065.940594059406,54.99986250034375,14.164617637720903
Audi,A5 2.0T Premium Plus,6,76481,2000.0,450.0,5,2,0,36,12537.868852459018,89.99982000036,14.765391179619254
Audi,A5 2.0T Premium Plus,6,38346,2000.0,444.0,5,2,0,36,6286.229508196721,88.79982240035521,14.886609125120307
Audi,A5 2.0T Prestige,7,57695,2000.0,354.0,4,2,0,49,8126.056338028169,88.49977875055313,14.82791151315894
Audi,A5 45 S line Premium Plus,3,39429,2000.0,444.0,5,1,0,9,12719.032258064515,88.79982240035521,15.181551445171921
Audi,A5 Sportback S line Premium Plus,4,56327,2000.0,444.0,5,1,0,16,13738.29268292683,88.79982240035521,14.955718301954699
Audi,A6 2.0 TDI,11,60000,1968.0,174.0,5,0,0,121,5405.405405405406,34.7999304001392,14.603968372873895
Audi,A6 2.0 TDI  Design Edition,12,50000,1968.0,188.0,5,0,0,144,4132.231404958678,37.599924800150404,14.340239086899256
Audi,A6 2.0 TDI Premium,13,77000,1968.0,177.0,5,0,0,169,5877.862595419848,35.3999292001416,13.976779556623864
Audi,A6 2.0 TDI Premium,13,98580,1968.0,177.0,5,0,0,169,7525.1908396946565,35.3999292001416,14.096923772119156
Audi,A6 2.0 TDI Premium,13,42000,1968.0,177.0,5,0,0,169,3206.1068702290077,35.3999292001416,14.214287349062356
Audi,A6 2.0 TDI Premium,12,60000,1968.0,177.0,5,0,0,144,4958.677685950413,35.3999292001416,14.151983508870947
Audi,A6 2.0 TDI Premium,11,69000,1968.0,177.0,5,0,0,121,6216.216216216217,35.3999292001416,14.220976332738882
Audi,A6 2.0 TDI Premium,11,75000,1968.0,177.0,5,0,0,121,6756.756756756757,35.3999292001416,14.389311544271775
Audi,A6 2.0 TDI Premium Plus,12,35000,1968.0,174.0,5,0,0,144,2892.5619834710747,34.7999304001392,14.508658238524095
Audi,A6 2.0 TDI Premium Plus,11,58000,1968.0,177.0,5,0,0,121,5225.225225225226,35.3999292001416,14.187074804051692
Audi,A6 2.0 TDI Premium Plus,11,19868,1968.0,177.0,5,0,0,121,1789.9099099099099,35.3999292001416,14.403297778421795
Audi,A6 2.0 TDI Technology,12,33900,1968.0,174.0,5,0,0,144,2801.6528925619837,34.7999304001392,14.375126917328105
Audi,A6 2.0T Premium Plus,9,102029,2000.0,444.0,5,2,0,81,11211.978021978022,88.79982240035521,14.301818668809052
Audi,A6 2.0T Premium Plus,9,109435,2000.0,444.0,5,2,0,81,12025.824175824177,88.79982240035521,14.327136461421032
Audi,A6 2.0T Premium Plus,9,154497,2000.0,444.0,5,2,0,81,16977.69230769231,88.79982240035521,14.421991938179739
Audi,A6 2.0T Sport,7,79904,2000.0,444.0,5,2,0,49,11254.084507042255,88.79982240035521,14.498986623686632
Audi,A6 3.0 TDI Premium Plus,11,68236,3000.0,444.0,5,0,0,121,6147.387387387387,88.79982240035521,14.608548773807126
Audi,A6 3.0 TDI quattro Premium,13,240000,2967.0,245.0,5,0,0,169,18320.6106870229,48.999902000196,14.316286451937186
Audi,A6 3.0T Premium Plus,9,114714,3000.0,444.0,5,2,0,81,12605.934065934067,88.79982240035521,14.422446586723536
Audi,A6 3.0T Premium Plus,9,117265,3000.0,444.0,5,2,0,81,12886.263736263736,88.79982240035521,14.422446586723536
Audi,A6 3.0T Prestige,11,144036,3000.0,444.0,5,2,0,121,12976.216216216217,88.79982240035521,14.22177601237654
Audi,A6 3.0T Prestige,10,173809,3000.0,444.0,5,2,0,100,17208.811881188118,88.79982240035521,14.327036336564655
Audi,A6 3.2 quattro,17,325087,3200.0,444.0,5,2,0,289,19010.935672514617,88.79982240035521,13.071871866765424
Audi,A6 35 TDI Matrix,10,61000,1968.0,190.0,5,0,0,100,6039.60396039604,37.999924000152,14.496079462646344
Audi,A6 35 TDI Matrix,10,100000,1968.0,190.0,5,0,0,100,9900.990099009901,37.999924000152,14.690979711984754
Audi,A6 35 TDI Matrix,10,69500,1968.0,190.0,5,0,0,100,6881.188118811881,37.999924000152,14.751604309291395
Audi,A6 35 TDI Matrix,9,60000,1968.0,190.0,5,0,0,81,6593.406593406594,37.999924000152,14.70134249472477
Audi,A6 35 TDI Matrix,8,81802,1968.0,190.0,5,0,0,64,10099.012345679013,37.999924000152,14.690979711984754
Audi,A6 35 TDI Matrix,8,17000,1968.0,190.0,5,0,0,64,2098.7654320987654,37.999924000152,14.938815784425955
Audi,A6 35 TDI Matrix,7,51000,1968.0,190.0,5,0,0,49,7183.0985915492965,37.999924000152,15.039286283703994
Audi,A6 35 TDI Matrix,7,48945,1968.0,190.0,5,0,0,49,6893.661971830987,37.999924000152,15.176487367510099
Audi,A6 35 TDI Matrix,7,36000,1968.0,190.0,5,0,0,49,5070.422535211268,37.999924000152,15.285916491535014
Audi,A6 35 TDI Matrix,6,34000,1968.0,190.0,5,0,0,36,5573.770491803279,37.999924000152,15.11706396273788
Audi,A6 35 TDI Premium,11,33000,1968.0,177.0,5,0,0,121,2972.972972972973,35.3999292001416,14.187074804051692
Audi,A6 35 TFSI Matrix,8,58000,1798.0,190.0,5,2,0,64,7160.493827160494,37.999924000152,14.862829903121964
Audi,A6 35 TFSI Matrix,6,11500,1798.0,188.0,5,2,0,36,1885.2459016393443,37.599924800150404,15.59435380409245
Audi,A6 35 TFSI Matrix,6,7800,1798.0,188.0,5,2,0,36,1278.688524590164,37.599924800150404,15.643762824245542
Audi,A6 35 TFSI Matrix,6,23600,1798.0,188.0,5,2,0,36,3868.852459016394,37.599924800150404,15.690845104081916
Audi,A6 45 Premium Plus,4,53108,2000.0,444.0,5,1,0,16,12953.170731707318,88.79982240035521,15.020283342220921
Audi,A6 55 Premium,6,17432,3000.0,340.0,5,1,0,36,2857.704918032787,67.999864000272,15.080907946404409
Audi,A6 55 Premium,5,40716,3000.0,335.0,5,1,0,25,7983.529411764706,66.999866000268,15.017780212754081
Audi,A6 55 Premium Plus,2,10591,3000.0,444.0,5,2,0,4,5043.333333333333,88.79982240035521,15.424080293641973
