Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
GMC,Terrain SLE,2022,3,44019,Petrol,1500,170,Automatic,5,2317269
Ford,Escape Limited,2012,13,207605,Petrol,2500,250,Automatic,5,583800
Lexus,LS 460 L,2014,11,171766,Petrol,4600,386,Automatic,5,2502000
Ford,Expedition Platinum,2019,6,55799,Petrol,3500,440,Automatic,5,3794700
Chevrolet,Malibu LTZ,2010,15,89962,Petrol,3600,252,Automatic,5,746430
Audi,RS 7 4.0T quattro,2023,2,5082,Petrol,4000,621,Automatic,5,10750260
Audi,A5 2.0T Premium Plus,2015,10,131966,Petrol,2000,220,Automatic,4,1417800
Genesis,G70 2.0T,2023,2,7701,Petrol,2000,252,Automatic,5,3573690
Chevrolet,Trailblazer LS,2021,4,32987,Petrol,1300,302,Automatic,5,1918117
Scion,tC Base,2013,12,285819,Petrol,2500,180,Automatic,5,592140
Lincoln,MKZ Hybrid Base,2014,11,126443,Other,2000,400,Automatic,5,1292700
Ford,Transit-350 XL,2018,7,152887,Other,3700,310,Automatic,5,3586200
Porsche,911 GT2 RS,2018,7,7289,Petrol,3800,700,Automatic,2,34819500
Ford,Explorer Timberline,2021,4,40620,Petrol,2300,365,Automatic,5,3331913
Volvo,XC90 3.2,2011,14,142105,Petrol,3200,315,Automatic,7,959100
Chevrolet,Avalanche LTZ,2013,12,157715,Other,5300,320,Automatic,5,2293417
Audi,TT RS 2.5T,2018,7,33273,Petrol,2500,476,Automatic,4,6338400
Lincoln,Navigator L,2008,17,152887,Petrol,5400,450,Automatic,8,909060
Hyundai,Elantra GLS,2010,15,172199,Petrol,2000,138,Automatic,5,521250
Audi,SQ5 3.0T Premium Plus,2016,9,96560,Petrol,3000,362,Automatic,5,2059980
Mitsubishi,Lancer Evolution GSR,2012,13,53108,Petrol,2000,324,Manual,5,2918917
Tesla,Model Y Performance,2023,2,805,Other,,460,Automatic,5,5004000
Mercedes-Benz,Maybach S S 600,2016,9,174613,Petrol,6000,523,Automatic,5,5295900
Nissan,GT-R Premium,2017,8,60833,Petrol,3800,570,Automatic,5,12468300
Mercedes-Benz,GLS 550 Base 4MATIC,2018,7,119770,Petrol,4700,577,Automatic,5,3736153
Chevrolet,Blazer Premier,2019,6,89513,Petrol,3600,308,Automatic,5,2882471
Mazda,CX-9 Grand Touring,2021,4,75167,Petrol,2500,250,Automatic,7,2713919
Ford,Expedition Max Limited,2022,3,42648,Petrol,3500,440,Automatic,5,5496060
Nissan,Titan XD SV,2020,5,16095,Petrol,5600,400,Automatic,5,3937648
Lexus,LX 570 Three-Row,2019,6,30658,Petrol,5700,383,Automatic,8,6413460
Chevrolet,Traverse Premier,2020,5,83686,Petrol,3600,328,Automatic,7,2985720
Mercedes-Benz,Sprinter High Roof,2014,11,104607,Diesel,3000,211,Automatic,5,4586917
BMW,X5 3.0i,2004,21,225308,Petrol,3000,342,Automatic,5,561282
Ford,Fusion SE,2018,7,121666,Petrol,1500,245,Automatic,5,1246830
Lincoln,MKZ Base,2015,10,188763,Petrol,2000,400,Automatic,5,1000800
Ford,GT,2005,20,3053,Petrol,5400,550,Manual,2,35861833
Genesis,G90 5.0 Ultimate,2017,8,41843,Petrol,5000,420,Automatic,5,2802240
Lexus,LC 500 Base,2022,3,3333,Petrol,5000,471,Automatic,4,8335830
Ford,Shelby GT500 Base,2014,11,25152,Petrol,5800,662,Manual,4,5162460
Saturn,Sky Base,2008,17,24172,Petrol,2400,290,Automatic,5,1542900
Audi,RS Q8 4.0T quattro,2022,3,18221,Petrol,4000,631,Automatic,7,9999660
Toyota,Land Cruiser,2016,9,81048,Petrol,5700,381,Automatic,5,5504233
Mercedes-Benz,SL-Class SL 550,2013,12,185074,Petrol,4600,550,Automatic,2,3002400
Porsche,911 Carrera C2S,2005,20,45866,Petrol,3800,355,Manual,5,5295900
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,7,83203,Petrol,2000,381,Automatic,5,2668800
Ford,Taurus X Limited,2008,17,239710,Petrol,3500,263,Automatic,5,325260
BMW,440 Gran Coupe i,2018,7,63247,Petrol,3000,425,Automatic,5,2647950
Honda,S2000 CR,2008,17,132486,Petrol,2200,237,Manual,2,2376900
Acura,Integra w/A-Spec Tech Package,2023,2,5752,Petrol,1500,320,Automatic,5,2918833
Ford,Excursion Limited,2001,24,175993,Petrol,6800,310,Automatic,6,1063267
Mercedes-Benz,SL-Class SL500 Roadster,2004,21,74030,Petrol,5000,510,Automatic,2,1572340
Mercedes-Benz,CLS-Class CLS 550,2007,18,198129,Petrol,5500,550,Automatic,4,8756917
INFINITI,G35 Sport,2007,18,59707,Petrol,3500,328,Manual,5,1409460
Volkswagen,Golf GTI 2.0T S 4-Door,2016,9,143231,Petrol,2000,241,Manual,5,1209300
Dodge,Challenger R/T Scat Pack,2022,3,1996,Petrol,6400,797,Automatic,5,4495260
Lincoln,Navigator L Reserve,2019,6,107943,Petrol,3500,450,Automatic,5,4003117
Maserati,Ghibli S Q4,2015,10,46188,Petrol,3000,424,Automatic,5,2076660
Tesla,Model X Base,2023,2,13197,Other,,670,Automatic,7,7839517
Mercedes-Benz,AMG G 63 Base,2018,7,65983,Petrol,5500,585,Automatic,5,9082260
Ford,Expedition Limited,2018,7,159317,Petrol,3500,440,Automatic,8,2918833
Volkswagen,Routan SE,2012,13,199260,Petrol,3600,283,Automatic,7,417000
Bugatti,Veyron 16.4 Grand Sport,2011,14,10187,Petrol,8000,1001,Automatic,5,162712983
Toyota,Highlander XLE,2020,5,98719,Petrol,3500,295,Automatic,5,2842606
Honda,Civic LX,2016,9,155258,Petrol,2000,306,Automatic,5,1300957
Jeep,Wrangler Unlimited Sahara,2017,8,106389,Petrol,3600,285,Automatic,5,2613005
Land,Rover Range Rover Supercharged,2008,17,183927,Petrol,4200,400,Automatic,5,825660
Acura,ILX 2.0L w/Premium Package,2015,10,120701,Petrol,2000,150,Automatic,5,1209300
BMW,M6 Base,2016,9,73708,Petrol,4400,600,Automatic,5,3069120
Polestar,2 Launch Edition,2021,4,19589,Other,,268,Automatic,5,3002317
BMW,X6 sDrive35i,2016,9,113590,Petrol,3000,402,Automatic,5,2919000
Porsche,Cayman S,2014,11,53250,Petrol,3400,325,Automatic,2,4149150
Lincoln,Corsair Grand Touring,2021,4,2977,Other,2500,295,Automatic,5,4086600
Cadillac,DTS Luxury II,2008,17,151527,Petrol,4600,304,Automatic,5,875700
Cadillac,ATS 3.6L Luxury,2016,9,40234,Petrol,3600,335,Automatic,5,1501117
GMC,Sierra 1500 SLT,2016,9,160129,Petrol,5300,420,Automatic,6,2334783
INFINITI,G37 x,2009,16,255183,Petrol,3700,328,Automatic,5,729750
Ford,Transit-350 XLT,2023,2,32187,Petrol,3500,310,Automatic,5,6546817
Cadillac,XTS Luxury,2018,7,75174,Petrol,3600,410,Automatic,5,1738890
Nissan,NV Passenger NV3500 HD SL V8,2017,8,74828,Petrol,5600,375,Automatic,5,3419400
Mercedes-Benz,GLS 450 Base 4MATIC,2019,6,31865,Petrol,3000,376,Automatic,5,4486920
Toyota,Land Cruiser Base,2008,17,281635,Petrol,5700,381,Automatic,8,3160860
Toyota,Land Cruiser Base,2016,9,98974,Petrol,5700,415,Automatic,5,5295900
RAM,ProMaster 2500 Window Van High Roof,2016,9,80065,Petrol,3600,280,Automatic,5,5421000
Lamborghini,Gallardo Base,2007,18,62442,Petrol,5000,552,Automatic,5,8340000
Lincoln,MKZ Base,2011,14,134806,Petrol,3500,400,Automatic,5,750183
Mercedes-Benz,EQS 450 4MATIC,2023,2,11890,Other,,355,Automatic,5,8798700
Lamborghini,Huracan Tecnica Coupe,2023,2,447,Petrol,5200,602,Automatic,5,30023249
Alfa,Romeo Giulia Quadrifoglio,2022,3,3164,Petrol,2900,520,Automatic,5,6330060
Chevrolet,Trailblazer LT,2021,4,81510,Petrol,1200,302,Automatic,5,2001183
Lamborghini,Urus Base,2021,4,22035,Petrol,4000,641,Automatic,7,21433800
INFINITI,G37 x,2013,12,96654,Petrol,3700,328,Automatic,5,1251000
Maserati,Levante S,2017,8,87585,Petrol,3000,430,Automatic,5,2831430
Toyota,Highlander Limited,2022,3,38626,Petrol,3500,295,Automatic,5,3961333
Nissan,Armada SL,2022,3,23714,Petrol,5600,425,Automatic,7,4253233
