Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Maruti,Swift Dzire VDI,2015,10,50000,Diesel,1248,74,Manual,5,625000
Maruti,Swift Dzire VDI,2016,9,40000,Diesel,1248,74,Manual,5,525000
Maruti,Swift Dzire VDI,2016,9,60000,Diesel,1248,74,Manual,5,550000
Maruti,Swift Dzire VDI,2016,9,76000,Diesel,1248,74,Manual,5,550000
Maruti,Swift Dzire VDI,2016,9,30000,Diesel,1248,74,Manual,5,561000
Maruti,Swift Dzire VDI,2016,9,147000,Diesel,1248,74,Manual,5,600000
Maruti,Swift Dzire VDI,2016,9,80000,Diesel,1248,74,Manual,5,600000
Maruti,Swift Dzire VDI,2016,9,75000,Diesel,1248,74,Manual,5,631000
Maruti,Swift Dzire VDI,2016,9,70000,Diesel,1248,74,Manual,5,649000
Maruti,Swift Dzire VDI,2016,9,50000,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2016,9,55000,Diesel,1248,74,Manual,5,660000
Maruti,Swift Dzire VDI,2016,9,120000,Diesel,1248,74,Manual,5,675000
Maruti,Swift Dzire VDI,2017,8,120000,Diesel,1248,74,Manual,5,570000
Maruti,Swift Dzire VDI,2017,8,127000,Diesel,1248,74,Manual,5,605000
Maruti,Swift Dzire VDI,2017,8,107000,Diesel,1248,74,Manual,5,620000
Maruti,Swift Dzire VDI,2017,8,61000,Diesel,1248,74,Manual,5,620000
Maruti,Swift Dzire VDI,2017,8,43000,Diesel,1248,74,Manual,5,625000
Maruti,Swift Dzire VDI,2017,8,34000,Diesel,1248,74,Manual,5,625000
Maruti,Swift Dzire VDI,2017,8,70000,Diesel,1248,74,Manual,5,625000
Maruti,Swift Dzire VDI,2017,8,40000,Diesel,1248,74,Manual,5,635000
Maruti,Swift Dzire VDI,2017,8,25000,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2017,8,20000,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2017,8,75000,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2017,8,70000,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2017,8,32500,Diesel,1248,74,Manual,5,651000
Maruti,Swift Dzire VDI,2017,8,60000,Diesel,1248,74,Manual,5,669000
Maruti,Swift Dzire VDI,2017,8,40000,Diesel,1248,74,Manual,5,680000
Maruti,Swift Dzire VDI,2017,8,60000,Diesel,1248,74,Manual,5,699000
Maruti,Swift Dzire VDI,2017,8,50000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2017,8,65000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2017,8,35000,Diesel,1248,74,Manual,5,711000
Maruti,Swift Dzire VDI,2017,8,40000,Diesel,1248,74,Manual,5,740000
Maruti,Swift Dzire VDI,2017,8,35000,Diesel,1248,74,Manual,5,745000
Maruti,Swift Dzire VDI,2017,8,30000,Diesel,1248,74,Manual,5,750000
Maruti,Swift Dzire VDI,2017,8,20000,Diesel,1248,74,Manual,5,755000
Maruti,Swift Dzire VDI,2018,7,35500,Diesel,1248,74,Manual,5,650000
Maruti,Swift Dzire VDI,2018,7,70000,Diesel,1248,74,Manual,5,680000
Maruti,Swift Dzire VDI,2018,7,120000,Diesel,1248,74,Manual,5,680000
Maruti,Swift Dzire VDI,2018,7,50000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2018,7,100000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2018,7,45000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire VDI,2018,7,25000,Diesel,1248,74,Manual,5,720000
Maruti,Swift Dzire VDI,2018,7,15000,Diesel,1248,74,Manual,5,725000
Maruti,Swift Dzire VDI,2018,7,25000,Diesel,1248,74,Manual,5,750000
Maruti,Swift Dzire VDI,2018,7,15000,Diesel,1248,74,Manual,5,755000
Maruti,Swift Dzire VDI,2018,7,59000,Diesel,1248,74,Manual,5,765000
Maruti,Swift Dzire VDI,2018,7,35000,Diesel,1248,74,Manual,5,800000
Maruti,Swift Dzire VDI,2018,7,100000,Diesel,1248,74,Manual,5,811000
